电芯编号,测试荷电状态_SOC_pct,稳态开路电压_U0_V,放电直流电阻_Rdc_dis_ohm,充电直流电阻_Rdc_chg_ohm,充放电不对称度_asym,撤载松弛电压_relax_V,持续极化电压_eta_V,倍率依赖电阻差_dRdc_ohm,真实健康状态_SOH_实测值
NMC2.1Ah|D3,50,3.8498,0.0056190476190476,0.0056190476190476,0.0,0.0204000000000004,-0.0155000000000002,-0.0001428571428572,0.912142857142857
NMC2.1Ah|D3,50,3.8612,0.0056190476190472,0.0056190476190476,-4.2327252813834093e-16,0.0194999999999998,-0.0145000000000004,0.0009047619047623,0.880904761904762
NMC2.1Ah|D3,50,3.8811,0.0053333333333331,0.0068571428571425,-0.0015238095238093,0.0192999999999998,-0.0146000000000001,-0.0001904761904761,0.857333333333333
NMC2.1Ah|D3,50,3.8836,0.0050476190476191,0.0059047619047621,-0.0008571428571429,0.0188999999999999,-0.0142999999999999,0.0008571428571427,0.831047619047619
NMC2.1Ah|D3,50,3.8916,0.0059047619047621,0.0052380952380952,0.0006666666666668,0.0198,-0.0144999999999999,0.0004285714285712,0.781952380952381
NMC2.1Ah|D3,50,3.9146,0.0070476190476186,0.0061904761904761,0.0008571428571425,0.0207999999999999,-0.0140000000000002,-0.0007142857142853,0.715047619047619
NMC2.1Ah|D4,50,3.8488,0.0053333333333331,0.0059047619047616,-0.0005714285714285,0.0191999999999996,-0.0142000000000002,2.1163626406917047e-16,0.911142857142857
NMC2.1Ah|D4,50,3.8609,0.0056190476190472,0.0056190476190476,-4.2327252813834093e-16,0.0194999999999998,-0.0142000000000002,0.000619047619048,0.87847619047619
NMC2.1Ah|D4,50,3.8829,0.0056190476190476,0.0049523809523808,0.0006666666666668,0.0188999999999999,-0.0138999999999995,-0.0004761904761904,0.855
NMC2.1Ah|D4,50,3.8854,0.0056190476190476,0.0061904761904765,-0.0005714285714289,0.0182999999999999,-0.0136000000000002,-0.0001904761904761,0.827809523809524
NMC2.1Ah|D4,50,3.8888,0.0053333333333331,0.0053333333333335,-4.2327252813834093e-16,0.0186000000000001,-0.0139,0.0005714285714287,0.798333333333333
NMC2.1Ah|D4,50,3.9019,0.0059047619047616,0.0064761904761901,-0.0005714285714285,0.0185999999999997,-0.0137,0.0002857142857144,0.767238095238095
NMC2.1Ah|E3,50,3.8557,0.0056190476190476,0.0059047619047616,-0.000285714285714,0.0182999999999999,-0.0134000000000003,-0.0004285714285714,0.894619047619048
NMC2.1Ah|E3,50,3.8764,0.0064761904761901,0.0047619047619046,0.0017142857142855,0.0182999999999999,-0.0123999999999999,-0.0005714285714282,0.870095238095238
NMC2.1Ah|E3,50,3.8823,0.0061904761904761,0.0050476190476187,0.0011428571428574,0.0182999999999999,-0.0123999999999999,-0.0010476190476189,0.841714285714286
NMC2.1Ah|E3,50,3.8895,0.0056190476190476,0.0053333333333331,0.0002857142857144,0.0186000000000001,-0.0137,-0.000142857142857,0.806142857142857
NMC2.1Ah|E3,50,3.9074,0.0067619047619046,0.0059047619047621,0.0008571428571425,0.0191999999999996,-0.0123999999999999,-0.0011904761904759,0.748857142857143
NMC2.1Ah|E4,50,3.8501,0.0056190476190476,0.0056190476190476,0.0,0.0195000000000002,-0.0148999999999999,0.0001428571428572,0.907238095238095
NMC2.1Ah|E4,50,3.865,0.0071428571428569,0.0059047619047621,0.0012380952380948,0.0188999999999999,-0.0127000000000001,-0.0015238095238093,0.872571428571429
NMC2.1Ah|E4,50,3.8864,0.0056190476190476,0.0046666666666663,0.0009523809523812,0.0192000000000001,-0.0142999999999999,-4.761904761893705e-05,0.847333333333333
NMC2.1Ah|E4,50,3.8904,0.0052380952380952,0.0056190476190476,-0.0003809523809523,0.0188999999999999,-0.0137,0.0006666666666665,0.820428571428571
NMC2.1Ah|E4,50,3.8988,0.0053333333333331,0.0052380952380952,9.523809523787324e-05,0.0185999999999997,-0.0137,0.0001428571428572,0.788666666666667
NMC2.1Ah|E4,50,3.9124,0.0059047619047621,0.0056190476190476,0.0002857142857144,0.0199000000000002,-0.0139999999999997,-0.0004285714285716,0.736857142857143
NMC2.1Ah|H3,50,3.8498,0.0056190476190476,0.0056190476190476,0.0,0.0198,-0.0148999999999999,0.0002857142857142,0.90452380952381
NMC2.1Ah|H3,50,3.8625,0.0053333333333335,0.0053333333333335,0.0,0.0195000000000002,-0.0151999999999996,0.0009999999999997,0.872952380952381
NMC2.1Ah|H3,50,3.8895,0.0061904761904761,0.0062857142857144,-9.523809523829652e-05,0.0194999999999998,-0.0139999999999997,-0.0008571428571427,0.820904761904762
NMC2.1Ah|H3,50,3.8975,0.0053333333333331,0.0049523809523808,0.0003809523809523,0.0198999999999998,-0.0152000000000001,0.0002380952380953,0.77947619047619
NMC2.1Ah|H3,50,3.9143,0.0052380952380952,0.0053333333333331,-9.523809523787324e-05,0.0200999999999997,-0.0158999999999998,0.0009523809523808,0.733619047619048
NMC2.1Ah|H4,50,3.8538,0.0056190476190476,0.0061904761904761,-0.0005714285714285,0.0192999999999998,-0.0148999999999999,-2.1163626406917047e-16,0.903428571428571
NMC2.1Ah|H4,50,3.8696,0.0059047619047621,0.0053333333333331,0.0005714285714289,0.0188999999999999,-0.0139,-0.0004285714285714,0.867047619047619
NMC2.1Ah|H4,50,3.8926,0.006761904761905,0.0053333333333335,0.0014285714285714,0.0189000000000003,-0.0130999999999996,-0.0013333333333336,0.836666666666667
NMC2.1Ah|H4,50,3.9034,0.0059047619047616,0.0056190476190476,0.000285714285714,0.0198999999999998,-0.0146000000000001,0.0001428571428572,0.781
NMC2.1Ah|H4,50,3.9378,0.0064761904761901,0.0064761904761906,-4.2240516640035253e-16,0.0210999999999996,-0.0155000000000002,0.0007619047619048,0.681761904761905
NMC2.1Ah|H4,50,3.9546,0.0074285714285714,0.0071428571428569,0.0002857142857144,0.0222999999999999,-0.0158,-0.0003809523809523,0.612380952380952
NMC2.1Ah|I3,50,3.8405,0.0070476190476191,0.0050476190476187,0.0020000000000004,0.0194999999999998,-0.0133999999999998,-0.0012857142857142,0.923
NMC2.1Ah|I3,50,3.8547,0.0053333333333335,0.0049523809523808,0.0003809523809527,0.0192000000000001,-0.0147999999999997,0.0008571428571425,0.888809523809524
NMC2.1Ah|I3,50,3.8795,0.0052380952380952,0.0064761904761901,-0.0012380952380948,0.0194999999999998,-0.0152000000000001,0.0002380952380951,0.860761904761905
NMC2.1Ah|I3,50,3.886,0.0061904761904761,0.0050476190476191,0.001142857142857,0.0194999999999998,-0.0144999999999999,-0.0008571428571427,0.830952380952381
NMC2.1Ah|I3,50,3.8944,0.0065714285714284,0.0049523809523808,0.0016190476190476,0.0199000000000002,-0.0142000000000002,-0.001142857142857,0.802666666666667
NMC2.1Ah|I3,50,3.905,0.0056190476190476,0.0050476190476191,0.0005714285714285,0.0201000000000002,-0.0154999999999998,-0.0006190476190476,0.767571428571429
NMC2.1Ah|I4,50,3.851,0.0056190476190476,0.0059047619047616,-0.000285714285714,0.0201999999999999,-0.0152000000000001,-0.0003333333333331,0.902142857142857
NMC2.1Ah|I4,50,3.8631,0.0056190476190476,0.0053333333333331,0.0002857142857144,0.0192999999999998,-0.0146000000000001,0.0001428571428572,0.870238095238095
NMC2.1Ah|I4,50,3.8885,0.0056190476190476,0.0056190476190476,0.0,0.0195000000000002,-0.0142000000000002,-0.0004285714285712,0.821190476190476
NMC2.1Ah|I4,50,3.8913,0.0059047619047621,0.0053333333333331,0.0005714285714289,0.0195000000000002,-0.0142000000000002,-0.0004285714285716,0.798809523809524
NMC2.1Ah|I4,50,3.9062,0.0056190476190476,0.0056190476190476,0.0,0.0199000000000002,-0.0146000000000001,-0.0003333333333334,0.752238095238095
NMC2.1Ah|J1,50,3.8492,0.0061904761904761,0.0065714285714284,-0.0003809523809523,0.0198,-0.0140000000000002,-0.000285714285714,0.914857142857143
NMC2.1Ah|J1,50,3.8631,0.0061904761904761,0.0059047619047621,0.000285714285714,0.0191999999999996,-0.0133,-0.0007142857142857,0.87847619047619
NMC2.1Ah|J1,50,3.8857,0.0059047619047616,0.0056190476190476,0.000285714285714,0.0188999999999999,-0.0133,-0.0001904761904759,0.854666666666667
NMC2.1Ah|J1,50,3.8919,0.0050476190476191,0.0056190476190476,-0.0005714285714285,0.0188999999999999,-0.0144999999999999,0.0002857142857142,0.820666666666667
NMC2.1Ah|J1,50,3.9109,0.0059047619047621,0.0059047619047616,4.2327252813834093e-16,0.0192000000000001,-0.0139999999999997,-0.0004761904761906,0.771285714285714
NMC2.1Ah|J1,50,3.9211,0.0064761904761901,0.0064761904761906,-4.2240516640035253e-16,0.0198999999999998,-0.0140000000000002,-0.0007142857142853,0.69952380952381
NMC2.1Ah|J2,50,3.8495,0.0064761904761901,0.0059047619047621,0.000571428571428,0.0217,-0.0152000000000001,-0.0005714285714282,0.912190476190476
NMC2.1Ah|J2,50,3.8671,0.0064761904761901,0.0056190476190476,0.0008571428571425,0.0213999999999998,-0.0155000000000002,-0.000428571428571,0.877047619047619
NMC2.1Ah|J2,50,3.8873,0.0061904761904761,0.0059047619047616,0.0002857142857144,0.0207999999999999,-0.0146000000000001,-0.0005714285714285,0.851238095238095
NMC2.1Ah|J2,50,3.8938,0.0059047619047616,0.0056190476190476,0.000285714285714,0.0204999999999997,-0.0155000000000002,-0.000428571428571,0.817333333333333
NMC2.1Ah|J2,50,3.9056,0.0061904761904761,0.0059047619047616,0.0002857142857144,0.0203999999999999,-0.0152000000000001,-0.0002857142857142,0.751190476190476
NMC2.1Ah|J2,50,3.9304,0.0065714285714284,0.0061904761904761,0.0003809523809523,0.0213999999999998,-0.0161000000000002,-0.0003809523809521,0.68747619047619
NMC2.1Ah|J3,50,3.8699,0.0055238095238093,0.0059047619047621,-0.0003809523809527,0.0194999999999998,-0.0148999999999999,9.523809523829652e-05,0.866380952380952
NMC2.1Ah|J3,50,3.8922,0.0053333333333335,0.0053333333333335,0.0,0.0195000000000002,-0.0147999999999997,0.000285714285714,0.837809523809524
NMC2.1Ah|J3,50,3.8969,0.0052380952380952,0.0056190476190476,-0.0003809523809523,0.0194999999999998,-0.0142999999999999,0.0003809523809523,0.800809523809524
NMC2.1Ah|J3,50,3.927,0.0070476190476186,0.0061904761904761,0.0008571428571425,0.0203999999999999,-0.0140000000000002,-0.0011428571428568,0.712285714285714
NMC2.1Ah|J3,50,3.9477,0.0074285714285714,0.0074285714285714,0.0,0.0220000000000002,-0.0151000000000003,-0.0008095238095238,0.619523809523809
NMC2.1Ah|J4,50,3.86,0.0071428571428569,0.0070476190476191,9.523809523787324e-05,0.0196,-0.0133,-0.0008095238095236,0.895666666666667
NMC2.1Ah|J4,50,3.8755,0.0067619047619046,0.0070476190476191,-0.0002857142857144,0.0188999999999999,-0.0130000000000003,-0.0009999999999999,0.857190476190476
NMC2.1Ah|J4,50,3.905,0.0056190476190476,0.0056190476190476,0.0,0.0188999999999999,-0.0139999999999997,0.0,0.78152380952381
NMC2.1Ah|J4,50,3.9319,0.0064761904761906,0.006285714285714,0.0001904761904765,0.0198,-0.0142000000000002,-0.0004285714285714,0.698761904761905
NMC2.1Ah|J4,50,3.94,0.0067619047619046,0.0062857142857144,0.0004761904761902,0.0207999999999999,-0.0146000000000001,-0.000142857142857,0.659809523809524
LMO10Ah|PIP15827A00220999,50,3.9683,0.011,0.0123799999999999,-0.0013799999999998,0.0788999999999999,-0.0224999999999999,-0.00168,0.60549
LMO10Ah|PIP15826A00208751,50,3.9542,0.0145,0.0169799999999999,-0.0024799999999999,0.0974000000000003,-0.0230000000000001,-0.00258,0.63985
LMO10Ah|PIP15829A00218444,50,3.9467,0.01316,0.0154799999999999,-0.0023199999999999,0.0886,-0.0210999999999996,-0.00226,0.6453599999999999
LMO10Ah|PIP15827A00205589,50,3.9086,0.0090599999999999,0.00968,-0.00062,0.0654999999999996,-0.0201999999999999,-0.0009099999999999,0.63319
LMO10Ah|PIP15829A00218550,50,3.9986,0.0167799999999999,0.02064,-0.00386,0.1146000000000002,-0.0268000000000001,-0.0035299999999999,0.55447
LMO10Ah|PIP15828A06100365,50,3.9351,0.0114199999999999,0.01282,-0.0014000000000001,0.0851999999999999,-0.0266999999999999,-0.0015799999999999,0.65591
LMO10Ah|PIP15829A00217239,50,3.9131,0.00982,0.01088,-0.00106,0.0695000000000001,-0.0201999999999999,-0.00116,0.65152
LMO10Ah|PIP15829A06101445,50,3.8712,0.0075199999999999,0.0078199999999999,-0.0003,0.0567000000000001,-0.0188000000000001,-0.0007099999999999,0.69576
LMO10Ah|PIP15826A00211185,50,3.9331,0.0128199999999999,0.01434,-0.00152,0.0851999999999999,-0.0205000000000001,-0.0020199999999999,0.6653800000000001
LMO10Ah|PIP15D01A03235252,50,3.8966,0.0088799999999999,0.0092,-0.00032,0.0701999999999998,-0.0255999999999998,-0.0009999999999999,0.69119
LMO10Ah|PIP15828A00225770,50,4.0082,0.01538,0.0182,-0.00282,0.1076000000000001,-0.0275000000000003,-0.003,0.56791
LMO10Ah|PIP15827A00205450,50,3.8824,0.0089599999999999,0.0093399999999999,-0.00038,0.0645999999999999,-0.0198,-0.00097,0.69997
